	0	1	Indication	ICD9	ICD10
219	D06OIV	Tolbutamide; Aglicid; Arcosal; Arkozal; Artosin; Artozin; Beglucin; Butamid; Butamide; Butamidum; Diaben; Diabesan; Diabetamid; Diabetol; Diabuton; Diasulfon; Diaval; Dirastan; Dolipol; Drabet; Glyconon; Ipoglicone; Mobenol; Orabet; Oralin; Oramide; Orezan; Orinase; Orinaz; Oterben; Pramidex; Rastinon; Restinon; Tarasina; Tolbet;Tolbusal; Tolbutamid; Tolbutamida; Tolbutamidum; Tolbutone; Toluina; Tolumid; Toluran; Toluvan; Tolylsulfonylbutylurea; Willbutamide; Apotex Brand of Tolbutamide; Aventis Brand of Tolbutamide; BerlinChemie Brand of Tolbutamide; Butamide Brand of Tolbutamide; Hoechst Brand of Tolbutamide; Pfizer Brand of Tolbutamide; TOLBUTAMIDE USP; Tolbutamide Aventis Brand; Tolbutamide Butamide Brand; Tolbutamide Hoechst Brand; Tolbutamide Pfizer Brand; Valdecasas Brand of Tolbutamide; Yamanouchi Brand of Tolbutamide; D 860; HLS 831; T 0891; U 2043; Apo-Tolbutamide; Berlin-Chemie Brand of Tolbutamide; Novo-Butamide; Orinase (TN); Sk-tolbutamide; Tol-Tab; Tolbutamida [INN-Spanish]; Tolbutamidum [INN-Latin]; Tolbutamide [INN:BAN:JAN]; R.A.N. Brand of Tolbutamide; Tolbutamid R.A.N.; Tolbutamide (JP15/USP/INN); N-4-Methylbenzolsulfonyl-N-butylurea; N-4-(Methylbenzolsulfonyl)-n-butylurea; N-Butyl-N'-p-toluenesulfonylurea; N-n-Butyl-N'-tosylurea; N-(4-Methylbenzenesulfonyl)-N'-butylurea; N-(4-Methylphenylsulfonyl)-N'-butylurea; N-(p-Tolylsulfonyl)-N'-butylcarbamide; N-Butyl-N'-(4-methylphenylsulfonyl)urea; N-Butyl-N'-(p-tolylsulfonyl)urea; N-Butyl-N'-toluene-p-sulfonylurea; N-(p-tolylsulfonyl)-N'-n-butylurea; 1-Butyl-3-(4-methylphenylsulfonyl)urea; 1-Butyl-3-(p-methylphenylsulfonyl)urea; 1-Butyl-3-(p-tolylsulfonyl)urea; 1-Butyl-3-(para-tolylsulfonyl) urea; 1-Butyl-3-tosylurea; 1-butyl-3-(4-methylphenyl)sulfonylurea; 1-p-Toluenesulfonyl-3-butylurea; 3-(p-Tolyl-4-sulfonyl)-1-butylurea; 3-(p-tolylsulfonyl)-1-butylurea; 3-[p-Tolyl-4-sulfonyl]-1-butylurea	Non-insulin dependent diabetes		E11.9
220	D0WN0U	Felodipine; Agon; Felobeta; Felocor; Feloday; Felodipina; Felodipinum; Felodur; Felogamma; Felogard; Fensel; Flodil; Hydac; Lexxel; Logimax; Modip; Munobal; Penedil; Perfudal; Plandil; Plendil; Preslow; Prevex; Renedil; Splendil; AGON SR; AbZ Brand of Felodipine; Aliud Brand of Felodipine; Alphapharm Brand of Felodipine; Alpharma Brand of Felodipine; Astra Brand of Felodipine; AstraZeneca Brand of Felodipine; Aventis Brand of Felodipine; Azupharma Brand of Felodipine; BC Brand of Felodipine; Betapharm Brand of Felodipine; Ct Arzneimittel Brand of Felodipine; Felo Biochemie; Felo Puren; Felodipin AL; Felodipin AZU; Felodipin AbZ; Felodipin Heumann; Felodipin Stada; Felodipin dura; Felodipin ratiopharm; Felodipin von ct; FelodurER; Heumann Brand of Felodipine; Hexal Brand of Felodipine; Hoechst Brand of Felodipine; Merck dura Brand of Felodipine; Munobal Retard; Pharmaceutica Astra Brand of Felodipine; Pharmacia Spain Brandof Felodipine; Plendil Depottab; Plendil ER; Plendil Retard; Promed Brand of Felodipine; Ratiopharm Brand of Felodipine; Stadapharm Brand of Felodipine; TheraPharm Brand of Felodipine; Worwag Brand of Felodipine; F 9677; Felodipin 1A Pharma; H 154 82; H 15482; CGH-869; Ct-Arzneimittel Brand of Felodipine; Dl-Felodipine; Felo-Puren; Felodipin-ratiopharm; Felodipina [INN-Spanish]; Felodipinum [INN-Latin]; H 154-82; H 154/82; Heumann, Felodipin; Plendil (TN); AE-641/11429675; Felodipine [USAN:BAN:INN]; Felodipine [USAN:INN:BAN]; H-154/82; Felodipine (JAN/USP/INN); Plendil, Renedil, Feloday, Felodipine; Ethyl methyl 4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate; (+-)-Ethyl methyl 4-(2,3-dichlorophenyl)-1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate; (+/-)-ethylmethyl 4-(2,3-dichlorophenyl)-1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate; 1A Brand of Felodipine; 3,5-Pyridinedicarboxylic acid, 1,4-dihydro-4-(2,3-dichlorophenyl)-2,6-dimethyl-, ethyl methylester; 3,5-Pyridinedicarboxylic acid, 1,4-dihydro-4-(2,3-dichlorophenyl)-2,6-dimethyl-,ethyl methyl ester; 3,5-Pyridinedicarboxylic acid, 4-(2,3-dichlorophenyl)-1,4-dihydro-2,6-dimethyl-, ethyl methyl ester; 3-Ethyl 5-methyl 4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydro-3,5-pyridinedicarboxylate; 3-ethyl 5-methyl 4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate; 4-(2,3-Dichlorophenyl)-1,4-dihydro-2,6-dimethyl-3,5-pyridinecarboxylic acid ethyl methyl ester; 4-(2,3-dichloro-phenyl)-2,6-dimethyl-1,4-dihydro-pyridine-3,5-dicarboxylic acid 3-ethyl ester 5-methyl ester; 4-(2,3-dichlorophenyl)-1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylic acid ethyl methyl ester; 5-O-ethyl 3-O-methyl 4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate	Hypertension	401	I10-I16
221	D0M4HV	Lansoprazole; Agopton; Amarin; Aprazol; Bamalite; Blason; Compraz; Dakar; Ilsatec; Ketian; Lancid; Lanproton; Lansopep; Lansoprazol; Lansoprazolum; Lansox; Lanston; Lanz; Lanzo; Lanzol; Lanzopral; Lanzoprazole; Lanzor; Lanzul; Lasoprol; Limpidex; Mesactol; Monolitum; Ogast; Ogastro; Opiren; PrevOnco; Prevacid; Prezal; Promeco;Promp; Prosogan; Suprecid; Takepron; Ulpax; Zoprol; Zoton; Abbot Brand of Lansoprazole; Almirall Brand of Lansoprazole; Biuret Gr; Biuret Reagent Solution; Hoechst Brand of Lansoprazole; Hormona Brand of Lansoprazole; Lansoprazole sulphone; Lederle Brand of Lansoprazole; Prevacid Iv; Prevacid SoluTab; Pro Ulco; Promeco Brand of Lansoprazole; Salvar Brand of Lansoprazole; TAP Brand of Lansoprazole; Takeda Brand of Lansoprazole; Tecnobio Brand of Lansoprazole; Vinas Brand of Lansoprazole; Wyeth Brand of Lansoprazole; A 65006; AG 1749; L 8533; TAK 390MR; TAK390MR; A-65006; ABT-006; AG-1749; Agopton (TN); CG-4801; Lansoprazol [INN-Spanish]; Lansoprazolum [INN-Latin]; Lansox (TN); Lanzol-30; Ogast (TN); Prevacid (TN); Prevacid I.V; TAK-390MR; Takepron (TN); Lansoprazole [USAN:BAN:INN]; Prevacid I.V.; Lansoprazole (JAN/USP/INN); Prevacid, Prevacid NapraPAC, Prevacid SoluTab, Lansoprazole; 2-(((3-Methyl-4-(2,2,2-trifluoroethoxy)-2-pyridinyl)methyl)sulfinyl)-1H-benzimidazole; 2-(((3-Methyl-4-(2,2,2-trifluoroethoxy)-2-pyridyl)methyl)sulfinyl)benzimidazole; 2-(((3-methyl-4-(2,2,2-trifluoroethoxy)-2-pyridyl)methyl)sulfinyl)-1H-benzimidazole; 2-({[3-methyl-4-(2,2,2-trifluoroethoxy)pyridin-2-yl]methyl}sulfinyl)-1H-benzimidazole; 2-[({3-methyl-4-[(2,2,2-trifluoroethyl)oxy]pyridin-2-yl}methyl)sulfinyl]-1H-benzimidazole; 2-[[3-methyl-4-(2,2,2-trifluoroethoxy)pyridin-2-yl]methylsulfinyl]-1H-benzimidazole; 2-[[[3-methyl-4-(2,2,2-trifluoroethoxy)-2-pyridyl] methyl] sulfinyl] benzimidazole; 2-[[[3-methyl-4-(2,2,2-trifluroethoxy)-2-pyridyl]methyl]sulfinyl]benzimidazole	Nsaid-related gastric ulcer	531	K25
222	D0M4HV	Lansoprazole; Agopton; Amarin; Aprazol; Bamalite; Blason; Compraz; Dakar; Ilsatec; Ketian; Lancid; Lanproton; Lansopep; Lansoprazol; Lansoprazolum; Lansox; Lanston; Lanz; Lanzo; Lanzol; Lanzopral; Lanzoprazole; Lanzor; Lanzul; Lasoprol; Limpidex; Mesactol; Monolitum; Ogast; Ogastro; Opiren; PrevOnco; Prevacid; Prezal; Promeco;Promp; Prosogan; Suprecid; Takepron; Ulpax; Zoprol; Zoton; Abbot Brand of Lansoprazole; Almirall Brand of Lansoprazole; Biuret Gr; Biuret Reagent Solution; Hoechst Brand of Lansoprazole; Hormona Brand of Lansoprazole; Lansoprazole sulphone; Lederle Brand of Lansoprazole; Prevacid Iv; Prevacid SoluTab; Pro Ulco; Promeco Brand of Lansoprazole; Salvar Brand of Lansoprazole; TAP Brand of Lansoprazole; Takeda Brand of Lansoprazole; Tecnobio Brand of Lansoprazole; Vinas Brand of Lansoprazole; Wyeth Brand of Lansoprazole; A 65006; AG 1749; L 8533; TAK 390MR; TAK390MR; A-65006; ABT-006; AG-1749; Agopton (TN); CG-4801; Lansoprazol [INN-Spanish]; Lansoprazolum [INN-Latin]; Lansox (TN); Lanzol-30; Ogast (TN); Prevacid (TN); Prevacid I.V; TAK-390MR; Takepron (TN); Lansoprazole [USAN:BAN:INN]; Prevacid I.V.; Lansoprazole (JAN/USP/INN); Prevacid, Prevacid NapraPAC, Prevacid SoluTab, Lansoprazole; 2-(((3-Methyl-4-(2,2,2-trifluoroethoxy)-2-pyridinyl)methyl)sulfinyl)-1H-benzimidazole; 2-(((3-Methyl-4-(2,2,2-trifluoroethoxy)-2-pyridyl)methyl)sulfinyl)benzimidazole; 2-(((3-methyl-4-(2,2,2-trifluoroethoxy)-2-pyridyl)methyl)sulfinyl)-1H-benzimidazole; 2-({[3-methyl-4-(2,2,2-trifluoroethoxy)pyridin-2-yl]methyl}sulfinyl)-1H-benzimidazole; 2-[({3-methyl-4-[(2,2,2-trifluoroethyl)oxy]pyridin-2-yl}methyl)sulfinyl]-1H-benzimidazole; 2-[[3-methyl-4-(2,2,2-trifluoroethoxy)pyridin-2-yl]methylsulfinyl]-1H-benzimidazole; 2-[[[3-methyl-4-(2,2,2-trifluoroethoxy)-2-pyridyl] methyl] sulfinyl] benzimidazole; 2-[[[3-methyl-4-(2,2,2-trifluroethoxy)-2-pyridyl]methyl]sulfinyl]benzimidazole	Peptic ulcer	531-534	K25-K27
223	D0N0EQ	Streptomycin; Agrept; Agrimycin; Gerox; Neodiestreptopab; SRY; Strepcen; Streptomicina; Streptomycine; Streptomycinum; Streptomyzin; Liposomal Streptomycin; Streptomicina [Italian]; Streptomycin A; Streptomycin A sulfate; Streptomycin Sesquisulfate Hydrate; Streptomycin sulfate; Streptomycin sulphate; Streptomyzin [German]; Agrept (TN); Estreptomicina [INN-Spanish]; Hokko-mycin; Plantomycin (TN); Rimosidin (TN); Streptomycin & EEP; Streptomycin & Propolis; Streptomycin (INN); Streptomycin (TN); Streptomycin [INN:BAN]; Streptomycin, Sulfate Salt; AS-50 (TN); STREPTOMYCIN SULFATE (2:3) SALT; Agri-mycin-17 (TN); O-2-Deoxy-2-(methylamino)-.alpha.-L-glucopyranosyl-(1->2)-O-5-deoxy-3-C-formyl-.alpha.-L-lyxofuranosyl-(1->4)-N,N'-bis(aminoiminomethyl)-D-streptamine and Liposome; N,N'''-[(1R,2R,3S,4R,5R,6S)-4-{5-deoxy-2-O-[2-deoxy-2-(methylamino)-alpha-L-glucopyranosyl]-3-C-formyl-alpha-L-lyxofuranosyloxy}-2,5,6-trihydroxycyclohexane-1,3-diyl]diguanidine; N,N'''-[(1R,2R,3S,4R,5R,6S)-4-({5-deoxy-2-O-[2-deoxy-2-(methylamino)-alpha-L-glucopyranosyl]-3-C-formyl-alpha-L-lyxofuranosyl}oxy)-2,5,6-trihydroxycyclohexane-1,3-diyl]diguanidine; 2,4-Diguanidino-3,5,6-trihydroxycyclohexyl 5-deoxy-2-O-(2-deoxy-2-methylamino-alpha-L-glucopyranosyl)-3-C-formyl-beta-L-lyxopentanofuranoside; 2-[(1R,2R,3S,4R,5R,6S)-3-(diaminomethylideneamino)-4-[(2R,3R,4R,5S)-3-[(2S,3S,4S,5R,6S)-4,5-dihydroxy-6-(hydroxymethyl)-3-(methylamino)oxan-2-yl]oxy-4-formyl-4-hydroxy-5-methyloxolan-2-yl]oxy-2,5,6-trihydroxycyclohexyl]guanidine; 2-[(1R,2R,3S,4R,5R,6S)-3-(diaminomethylideneamino)-4-[(2S,3S,4S,5R)-3-[(2R,3R,4R,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-(methylamino)oxan-2-yl]oxy-4-formyl-4-hydroxy-5-methyloxolan-2-yl]oxy-2,5,6-trihydroxycyclohexyl]guanidine; 2-[(1S,2S,3R,4S,5S,6R)-3-(diaminomethylideneamino)-4-[(2R,3R,4R,5S)-3-[(2S,3S,4S,5R,6S)-4,5-dihydroxy-6-(hydroxymethyl)-3-(methylamino)oxan-2-yl]oxy-4-formyl-4-hydroxy-5-methyloxolan-2-yl]oxy-2,5,6-trihydroxycyclohexyl]guanidine; 2-[(1S,4S)-5-(diaminomethylideneamino)-2-[(2R,5S)-3-[(2S,5R)-4,5-dihydroxy-6-(hydroxymethyl)-3-(methylamino)oxan-2-yl]oxy-4-formyl-4-hydroxy-5-methyloxolan-2-yl]oxy-3,4,6-trihydroxycyclohexyl]guanidine; [2-deoxy-2-(dimethylamino)-alpha-L-glucopyranosyl]-(1->2)-[5-deoxy-3-C-formyl-alpha-L-lyxofuranosyl]-(1->4)-{N',N'''-[(1,3,5/2,4,6)-2,4,5,6-tetrahydroxycyclohexane-1,3-diyl]diguanidine}	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
224	D0O5NK	Oseltamivir; Agucort; Oseltamivirum; Tamvir; GS 4104; GS4104; Agucort (TN); GS-4104; Oseltamivir (INN); Oseltamivir [INN:BAN]; Ro-640796; Tamiflu (TN); Tamiflu-Free; Ro-64-0796; Tamiflu (*Phosphate salt 1:1*); Ethyl (3R,4R,5S)-4-acetamido-5-amino-3-pentan-3-yloxycyclohexene-1-carboxylate; Ethyl (5S,3R,4R)-4-(acetylamino)-5-amino-3-(ethylpropoxy)cyclohex-1-enecarboxylate; Ethyl (3R,4R,5S)-4-acetamido-5-amino-3-(1-ethylpropoxy)-1-cyclohexene-1-carboxylate; Ethyl (3R,4R,5S)-4-acetamido-5-amino-3-(pentan-3-yloxy)cyclohex-1-ene-1-carboxylate; (-)-oseltamivir; (3R,4R,5S)-4-Acetylamino-5-amino-3-(1-ethyl-propoxy)-cyclohex-1-enecarboxylic acid; (3R,4R,5S)-4-acetamido-5-amino-3-(pentan-3-yloxy)cyclohex-1-enecarboxylic acid; 4-Acetylamino-5-amino-3-(1-ethyl-propoxy)-cyclohex-1-enecarboxylic acid; OTV	Influenza virus		J11.1
225	D0R9BG	Acetohydroxamic Acid; AHA; Acethydroxamsaeure; Acethydroxamsaure; Acetohydroxamate; HAE; Lithostat; Acethydroxamic acid; Acethydroxamsaeure [German]; Acetohydroximic acid; Acetyl hydroxyamino; Acetylhydroxamic acid; Acide acetohydroxamique; Acide acetohydroxamique [French]; Acido acetohidroxamico; Acido acetohidroxamico [Spanish]; Acidum acetohydroxamicum; Acidum acetohydroxamicum [Latin]; Cetohyroxamic acid; Methylhydroxamic acid; SJX HLdmMAH; AHA (TN); Acetic acid, oxime; Acetohydroxamic acid [USAN:INN]; Lithostat (TN); N-Acetyl hydroxyacetamide; N-Acetylhydroxylamine; N-Hydroxyacetamide; N-hydroxyacetimidic acid; N-hydroxyethanimidic acid; S14-0751; Acetohydroxamic acid (USP/INN); Acetamide, N-hydroxy-(9CI)	Urinary tract infections	599	N39.0
226	D0BF8G	Pamidronate; AHPrBP; Amidronate; Aminomux; Aminopropanehydroxydiphosphonate; Aredia; Ribodroat; Acide pamidronique; Acido pamidronico; Acidum pamidronicum; Aminohydroxypropylidene diphosphonate; Novartis brand of pamidronate disodium salt; PAMIDRONATE DISODIUM; PAMIDRONIC ACID; Pamidronate calcium; Pamidronate monosodium; Bisphosphonate 6; Acide pamidronique [INN-French]; Acido pamidronico [INN-Spanish]; Acidum pamidronicum [INN-Latin]; Pamidronic acid (INN); Pamidronic acid [INN:BAN]; Ribodroat (TN); Amino-1-hydroxypropane-1,1-diphosphonate; (3-AMINO-1-HYDROXY-1-PHOSPHONO-PROPYL)PHOSPHONIC ACID; (3-Amino-1-hydroxypropylidene)bisphosphonic acid; (3-Amino-1-hydroxypropylidene)diphosphonic acid; (3-amino-1-hydroxy-1-phosphonopropyl)phosphonic acid; (3-amino-1-hydroxypropane-1,1-diyl)bis(phosphonic acid); (3-amino-1-hydroxypropylidene)-1,1-biphosphonate; (3-amino-1-hydroxypropylidene)-1,1-bisphosphonate; 1-hydroxy-3-aminopropane-1,1-diphosphonic acid; 3-Amino-1-hydroxypropylidene-1,1-diphosphonate	Hypercalcemia	275.42	E83.5
227	D01UXC	Atenolol; Aircrit; Alinor; Altol; Anselol; Antipressan; Atcardil; Atecard; Atehexal; Atenblock; Atendol; Atenet; Ateni; Atenil; Atenol; Atenolin; Atenololum; Atenomel; Atereal; Aterol; Betablok; Betacard; Betasyn; Blocotenol; Blokium; Cardaxen; Cardiopress; Corotenol; Cuxanorm; Duraatenolol; Duratenol; Evitocor; Farnormin; Hipres; Hypoten; Ibinolo; Internolol; Jenatenol; Juvental; Loten; Lotenal; Myocord; Neatenol; Normalol; Normiten; Noten; Oraday; Ormidol; Panapres; Plenacor; Premorine; Prenolol; Prenormine; Prinorm; Selobloc; Serten; Servitenol; Stermin; Tenidon; Tenobloc; Tenoblock; Tenolol; Tenoprin; Tenormin; Tenormine; Tensimin; Tensotin; Tredol; Unibloc; Uniloc; Vascoten; Vericordin; Wesipin; Xaten; Atenol AL; Atenol Atid; Atenol Cophar; Atenol Fecofar; Atenol GNR; Atenol Gador; Atenol Genericon; Atenol Heumann; Atenol MSD; Atenol NM Pharma; Atenol Nordic; Atenol PB; Atenol Quesada; Atenol Stada; Atenol Tika; Atenol Trom; Atenol acis; Atenol ct; Atenol von ct; Betatop Ge; Scheinpharm Atenol; Seles beta; Tenormine [French]; A 7655; Atenol 1A pharma; Apo-Atenolol; Atenol-Mepha; Atenol-Wolff; Atenol-ratiopharm; Atenololum [INN-Latin]; Felo-Bits; Lo-ten; Teno-basan; Tenormin (TN); Atenolol (JP15/USP/INN); Atenolol [USAN:INN:BAN:JAN]; Acetamide,2-(p-(2-hydroxy-3-(isopropylamino)propoxy)phenyl); (+-)-4-(2-Hydroxy-3-isopropylaminopropoxy)phenylacetamide; (+-)-Atenolol; (+/-)-4-[2-Hydroxy-3-[(1-methylethyl)amino]propoxy]benzeneacetamide; (1)-2-(4-(2-Hydroxy-3-(isopropylamino)propoxy)phenyl)acetamide; (inverted question mark)-Atenolol; 1-p-Carbamoylmethylphenoxy-3-isopropylamino-2-propanol; 2-(4-(2-Hydroxy-3-isopropylaminopropoxy)phenyl)acetamid; 2-(4-{2-hydroxy-3-[(propan-2-yl)amino]propoxy}phenyl)acetamide; 2-(p-(2-Hydroxy-3-(isopropylamino)propoxy)phenyl)acetamide; 2-[4-(2-Hydroxy-3-isopropylaminopropoxy)phenyl]acetamide; 2-[4-({2-hydroxy-3-[(1-methylethyl)amino]propyl}oxy)phenyl]acetamide; 2-[4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]acetamide; 2-{4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl}acetamide; 4-(2-Hydroxy-3-((1-methylethyl)amino)propoxy)benzeneacetamide; 4-[2'-Hydroxy-3'-(isopropylamino)propoxy]phenylacetamide; 4-[2-Hydroxy-3-(isopropylamino)-propoxy]phenylacetamide	Hypertension	401	I10-I16
228	D0T8VY	Aceclofenac; Airtal; Barracan; Biofenac; Bristaflam; Falcol; Gerbin; Preservex; YT-919	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
229	D0PQ3G	Furosemide; Aisemide; Aldalix; Aldic; Aluzine; Anfuramaide; Aquarid; Aquasin; Arasemide; Beronald; Bioretic; Cetasix; Depix; Desal; Desdemin; Dirine; Disal; Discoid; Disemide; Diural; Diurapid; Diurin; Diurolasa; Diusemide; Diusil; Diuzol; Dranex; Dryptal; Durafurid; Edemid; Edenol; Eliur; Endural; Errolon; Eutensin; FUN; Farsix; Fluidrol; Fluss; Franyl; Frumex; Frumide; Frusedan; Frusema; Frusemid; Frusemide; Frusemin; Frusenex; Frusetic; Frusid; Fulsix; Fuluvamide; Fuluvamine; Fulvamide; Furanthril; Furanthryl; Furantral; Furantril; Furanturil; Furesis; Furetic; Furex; Furfan; Furix; Furmid; Furobeta; Furocot; Furodiurol; Furodrix; Furomen; Furomex; Furorese; Furosan; Furose; Furosedon; Furosemid; Furosemida; Furosemidu; Furosemidum; Furosemix; Furoside; Furosifar; Furosix; Furoter; Furovite; Fursemid; Fursemida; Fursemide; Fursol; Fusid; Golan; Hissuflux; Hydrex; Hydro; Hydroled; Impugan; Jenafusid; Katlex; Kofuzon; Kolkin; Kutrix; Lasemid; Lasex; Lasiletten; Lasilix; Lasix; Laxur; Lazix; Liside; Logirene; Lowpston; Lowpstron; Luscek; Macasirool; Marsemide; Mirfat; Mita; Moilarorin;Myrosemide; Nadis; Nelsix; Novosemide; Odemase; Odemex; Oedemex; Prefemin; Profemin; Promedes; Promide; Protargen; Puresis; Radisemide; Radonna; Radouna; Retep; Rosemide; Rosis; Rusyde; Salinex; Salix; Salurex; Salurid; Seguril; Selectofur; Sigasalur; Spirofur; Synephron; Transit; Trofurit; Uremide; Uresix; Urex; Urian; Uridon; Uritol; Urosemide; Vesix; Yidoli; Zafimida; FUROSEMIDE USP; Fu sid; Furosemide Monohydrochloride; Furosemide Monosodium Salt; Furosemidu [Polish]; Lasix Retard; Lasix Special; Less Diur; Polysquall A; Sal diureticum; F0182; F4381_SIGMA; LB 502; Aisemide (TN); Apo-Frusemide; Apo-Furosemide; Beronald (TN); Desdemin (TN); Discoid (TN); Diumide-K; Diural (TN); Diurapid (TN); Dryptal (TN); Durafurid (TN); Errolon (TN); Eutensin (TN); Frudix (TN); Frusetic (TN); Frusid (TN); Fulsix (TN); Fuluvamide (TN); Furesis (TN); Furix (TN); Furo-Basan; Furo-puren; Furomide M.D; Furosedon (TN); Furosemida [INN-Spanish]; Furosemide (mita); Furosemidum [INN-Latin]; Fusid (TN); Hoe-058A; Hydro-rapid; Impugan (TN); Katlex (TN); LB-502; Lasilix (TN); Lasix (TN); Lodix (TN); Lowpston (TN); Macasirool (TN); Mirfat (TN); Neo-renal; Nicorol (TN); Odemase (TN); Oedemex (TN); Profemin (TN); Rosemide (TN); Rusyde (TN); Salix (TN); Salix (brand of furosemide); Trofurit (TN); Urex (TN); Urex-M; Apo-Furosemide (TN); Furo-Puren (TN); Furomide M.D.; Furosemide [USAN:INN:JAN]; Hydro-rapid(TN); Lasix, Frusemide, Furosemide; Furosemide (JP15/USP/INN); Chlor-N-(2-furylmethyl)-5-sulfamylanthranilsaeure; Chlor-N-(2-furylmethyl)-5-sulfamylanthranilsaeure [German]; 2-Furfurylamino-4-chloro-5-sulfamoylbenzoic acid; 4-Chloro-5-sulfamoyl-N-furfuryl-anthranilic acid; 4-Chloro-N-(2-furylmethyl)-5-sulfamoylanthranilic acid; 4-Chloro-N-furfuryl-5-sulfamoylanthranilic acid; 4-chloro-2-(furan-2-ylmethylamino)-5-sulfamoylbenzoic acid; 4-chloro-2-[(furan-2-ylmethyl)amino]-5-sulfamoylbenzoic acid	Edema associated with congestive heart failure	428.0, 782.3	I50, R60.9
230	D0Y5DO	Citalopram; Akarin; Celapram; Celexa; Celius; Ciazil; Cilift; Cipram; Ciprapine; Citabax; Citadur; Citalec; Citalopramum; Citopam; Cytalopram; Dalsan; Humorup; Nitalapram; Oropram; Pramcit; Recital; Seropram; Talam; Talohexal; Temperax; Vodelax; Zentius; Zetalo; Citalopram [Celexa]; [3H]Citalopram; Akarin (TN); Celapram (TN); Celexa (TN); Celius (TN); Ciazil (TN); Cilift (TN); Cipram (TN); Cipramil (TN); Ciprapine (TN); Citabax (TN); Citadur (TN); Citalec (TN); Citalopram [INN:BAN]; Citalopramum [INN-Latin]; Citaxin (TN); Citol (TN); Citopam (TN); Citox (TN); Citrol (TN); Dalsan (TN); Lu 10-171; Recital (TN); Seropram (TN); Talam (TN); Zentius (TN); Zetalo (TN); AE-641/00603021; Citalopram (USP/INN); Lu-10-171; 1,3-Dihydro-1-(3-(dimethylamino)propyl)-1-(4-fluorophenyl)-5-isobenzofurancarbonitrile; 1,3-dihydro[3,4]benzofuran-5-carbonitrile; 1-(3-(Dimethylamino)propyl)-1-(p-fluorophenyl)-5-phthalancarbonitrile; 1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-1,3-dihydro-2-benzofuran-5-carbonitrile; 1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3H-2-benzofuran-5-carbonitrile	Depression	311	F30-F39
231	D00IUG	Levobunolol; Akbeta; Betagan; Levobunololum; Levobunolol HCl; Betegan (TN); Levobunolol (INN); Levobunolol [INN:BAN]; Levobunololum [INN-Latin]; Liquifilm (TN); W-6412A; W-7000A; AK-Beta (TN); (-)-Bunolol; (S)-5-(3-((1,1-dimethylethyl)amino)-2-hydroxypropoxy)-3,4-dihydro-1(2H)-naphthalenone; 5-[(2S)-3-(tert-butylamino)-2-hydroxypropoxy]-3,4-dihydro-2H-naphthalen-1-one; 5-[(2S)-3-(tert-butylamino)-2-hydroxypropoxy]-3,4-dihydronaphthalen-1(2H)-one	Open-angle glaucoma	365	H40-H42
232	D0B4TN	Biperiden; Akineton; Beperiden; Biperidene; Biperideno; Biperidenum; Biperidine; Biperidene hydrochloride; KL 373; Akineton (TN);Biperidene [INN-French]; Biperideno [INN-Spanish]; Biperidenum [INN-Latin]; Biperiden (JAN/USP/INN); Biperiden [USAN:BAN:INN:JAN]; Biperiden [USAN:INN:BAN:JAN]; Alpha-5-Norbornen-2-yl-alpha-phenyl-1-piperidinepropanol; Alpha-bicyclo[2.2.1]hept-5-en-2-yl-alpha-phenyl-1-piperidinepropanol; Alpha-Bicyclo(2.2.1)hept-5-en-2-yl-alpha-phenyl-1-piperidinepropanol; Alpha-(Bicyclo(2.2.1)hept-5-en-2-yl)-alpha-phenyl-1-piperidino propanol; 1-(5-bicyclo[2.2.1]hept-2-enyl)-1-phenyl-3-piperidin-1-ylpropan-1-ol; 1-(Bicyclo(2.2.1)hept-5-en-2alpha-yl)-1-phenyl-3-piperidinopropanol; 1-(bicyclo[2.2.1]hept-5-en-2-yl)-1-phenyl-3-(piperidin-1-yl)propan-1-ol; 1-Bicycloheptenyl-1-phenyl-3-piperidino-propanol-1; 1-Piperidinepropanol, .alpha.-bicyclo[2.2.1]hept-5-en-2-yl-.alpha.-phenyl-, hydrochloride; 3-Piperidino-1-phenyl-1-bicyclo(2.2.1)hepten-(5)-yl-propanol-(1); 3-Piperidino-1-phenyl-1-bicyclo(2.2.1)hepten-(5)-yl-propanol-(1) [German]; 3-Piperidino-1-phenyl-1-bicycloheptenyl-1-propanol	Parkinsonism; Extrapyramidal disorders secondary to neuroleptic drug therapy		F06
